002  00416 |Loss: 0.753 | Acc: 58.000% 
002  00417 |Loss: 0.753 | Acc: 58.000% 
002  00418 |Loss: 0.758 | Acc: 57.000% 
002  00419 |Loss: 0.761 | Acc: 57.000% 
002  00420 |Loss: 0.762 | Acc: 56.000% 
002  00421 |Loss: 0.761 | Acc: 56.000% 
002  00422 |Loss: 0.765 | Acc: 56.000% 
002  00423 |Loss: 0.762 | Acc: 56.000% 
002  00424 |Loss: 0.760 | Acc: 56.000% 
002  00425 |Loss: 0.758 | Acc: 57.000% 
002  00426 |Loss: 0.754 | Acc: 57.000% 
002  00427 |Loss: 0.751 | Acc: 58.000% 
002  00428 |Loss: 0.752 | Acc: 57.000% 
002  00429 |Loss: 0.751 | Acc: 57.000% 
002  00430 |Loss: 0.752 | Acc: 57.000% 
002  00431 |Loss: 0.754 | Acc: 57.000% 
002  00432 |Loss: 0.749 | Acc: 58.000% 
002  00433 |Loss: 0.746 | Acc: 58.000% 
002  00434 |Loss: 0.743 | Acc: 58.000% 
002  00435 |Loss: 0.744 | Acc: 58.000% 
002  00436 |Loss: 0.744 | Acc: 58.000% 
002  00437 |Loss: 0.745 | Acc: 58.000% 
002  00438 |Loss: 0.747 | Acc: 58.000% 
002  00439 |Loss: 0.745 | Acc: 58.000% 
002  00440 |Loss: 0.742 | Acc: 58.000% 
002  00441 |Loss: 0.741 | Acc: 58.000% 
002  00442 |Loss: 0.740 | Acc: 58.000% 
002  00443 |Loss: 0.742 | Acc: 58.000% 
002  00444 |Loss: 0.739 | Acc: 58.000% 
002  00445 |Loss: 0.735 | Acc: 59.000% 
002  00446 |Loss: 0.736 | Acc: 59.000% 
002  00447 |Loss: 0.734 | Acc: 59.000% 
002  00448 |Loss: 0.730 | Acc: 59.000% 
002  00449 |Loss: 0.729 | Acc: 59.000% 
002  00450 |Loss: 0.728 | Acc: 59.000% 
002  00451 |Loss: 0.731 | Acc: 59.000% 
002  00452 |Loss: 0.730 | Acc: 59.000% 
002  00453 |Loss: 0.727 | Acc: 59.000% 
002  00454 |Loss: 0.728 | Acc: 59.000% 
002  00455 |Loss: 0.727 | Acc: 59.000% 
002  00456 |Loss: 0.727 | Acc: 59.000% 
002  00457 |Loss: 0.726 | Acc: 59.000% 
002  00458 |Loss: 0.724 | Acc: 59.000% 
002  00459 |Loss: 0.722 | Acc: 59.000% 
002  00460 |Loss: 0.721 | Acc: 59.000% 
002  00461 |Loss: 0.720 | Acc: 59.000% 
002  00462 |Loss: 0.723 | Acc: 59.000% 
002  00463 |Loss: 0.724 | Acc: 59.000% 
002  00464 |Loss: 0.722 | Acc: 59.000% 
002  00465 |Loss: 0.719 | Acc: 59.000% 
002  00466 |Loss: 0.720 | Acc: 59.000% 
002  00467 |Loss: 0.718 | Acc: 59.000% 
002  00468 |Loss: 0.717 | Acc: 59.000% 
002  00469 |Loss: 0.713 | Acc: 60.000% 
002  00470 |Loss: 0.713 | Acc: 60.000% 
002  00471 |Loss: 0.711 | Acc: 60.000% 
002  00472 |Loss: 0.709 | Acc: 60.000% 
002  00473 |Loss: 0.708 | Acc: 60.000% 
002  00474 |Loss: 0.705 | Acc: 60.000% 
002  00475 |Loss: 0.702 | Acc: 60.000% 
002  00476 |Loss: 0.699 | Acc: 61.000% 
002  00477 |Loss: 0.696 | Acc: 61.000% 
002  00478 |Loss: 0.694 | Acc: 61.000% 
002  00479 |Loss: 0.695 | Acc: 61.000% 
002  00480 |Loss: 0.692 | Acc: 61.000% 
002  00481 |Loss: 0.696 | Acc: 61.000% 
002  00482 |Loss: 0.699 | Acc: 61.000% 
002  00483 |Loss: 0.698 | Acc: 61.000% 
002  00484 |Loss: 0.697 | Acc: 61.000% 
002  00485 |Loss: 0.694 | Acc: 61.000% 
002  00486 |Loss: 0.692 | Acc: 61.000% 
002  00487 |Loss: 0.691 | Acc: 61.000% 
002  00488 |Loss: 0.690 | Acc: 61.000% 
002  00489 |Loss: 0.687 | Acc: 62.000% 
002  00490 |Loss: 0.685 | Acc: 62.000% 
002  00491 |Loss: 0.687 | Acc: 62.000% 
002  00492 |Loss: 0.685 | Acc: 62.000% 
002  00493 |Loss: 0.684 | Acc: 62.000% 
002  00494 |Loss: 0.684 | Acc: 62.000% 
002  00495 |Loss: 0.686 | Acc: 62.000% 
002  00496 |Loss: 0.690 | Acc: 61.000% 
002  00497 |Loss: 0.687 | Acc: 62.000% 
002  00498 |Loss: 0.685 | Acc: 62.000% 
002  00499 |Loss: 0.685 | Acc: 62.000% 
002  00500 |Loss: 0.687 | Acc: 62.000% 
002  00501 |Loss: 0.687 | Acc: 62.000% 
002  00502 |Loss: 0.688 | Acc: 62.000% 
002  00503 |Loss: 0.688 | Acc: 62.000% 
002  00504 |Loss: 0.687 | Acc: 62.000% 
002  00505 |Loss: 0.687 | Acc: 62.000% 
002  00506 |Loss: 0.686 | Acc: 62.000% 
002  00507 |Loss: 0.684 | Acc: 62.000% 
002  00508 |Loss: 0.684 | Acc: 62.000% 
002  00509 |Loss: 0.683 | Acc: 62.000% 
002  00510 |Loss: 0.683 | Acc: 62.000% 
002  00511 |Loss: 0.681 | Acc: 62.000% 
002  00512 |Loss: 0.681 | Acc: 62.000% 
002  00513 |Loss: 0.682 | Acc: 62.000% 
002  00514 |Loss: 0.682 | Acc: 62.000% 
002  00515 |Loss: 0.682 | Acc: 62.000% 
002  00516 |Loss: 0.683 | Acc: 62.000% 
002  00517 |Loss: 0.682 | Acc: 62.000% 
002  00518 |Loss: 0.681 | Acc: 62.000% 
